date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-08-02,197.5725,205.2555,197.3459,204.2804,62404012,62404012,5.8017,2.923,202.7615,"Aug 2, 18",0.10372557982219816
2018-08-03,203.9258,205.6101,202.3993,204.8714,33447396,33447396,0.591003,0.289,204.1859,"Aug 3, 18",0.1069187487100353
2018-08-06,204.8812,206.1125,203.9652,205.9352,25425387,25425387,1.0638,0.519,205.367,"Aug 6, 18",0.11266645270814217
2018-08-07,206.1814,206.3587,203.6598,204.0046,25587387,25587387,-1.9306,-0.937,204.4556,"Aug 7, 18",0.10223543434120763
2018-08-08,202.9605,204.6941,201.4534,204.1425,22525487,22525487,0.1379,0.068,203.6682,"Aug 8, 18",0.10298050708170296
2018-08-09,204.172,206.6345,204.0932,205.748,23492626,23492626,1.6056,0.786,205.9224,"Aug 9, 18",0.11165501241067488
2018-08-10,204.9672,206.6871,204.2851,205.1352,24611202,24611202,-0.612811,-0.298,205.459,"Aug 10, 18",0.10834405827452166
2018-08-13,205.3032,208.5177,205.3032,206.4597,25890880,25890880,1.3245,0.646,207.157,"Aug 13, 18",0.11550032255868452
2018-08-14,207.7299,208.1302,205.8568,207.3296,20748010,20748010,0.869845,0.421,207.0308,"Aug 14, 18",0.12020038620594256
2018-08-15,206.8057,208.3082,205.926,207.8139,28807564,28807564,0.484346,0.234,206.9871,"Aug 15, 18",0.12281705573619549
2018-08-16,209.3065,211.3448,209.0297,210.8584,28500367,28500367,3.0445,1.465,210.536,"Aug 16, 18",0.1392664680526423
2018-08-17,210.977,215.435,210.7002,215.0692,35426997,35426997,4.2108,1.997,213.5159,"Aug 17, 18",0.16201739115400357
2018-08-20,215.5832,216.6508,212.6277,212.9737,30287695,30287695,-2.0955,-0.974,213.9802,"Aug 20, 18",0.15069541923443908
2018-08-21,214.2982,214.6837,211.5553,212.5585,26159755,26159755,-0.415153,-0.195,213.138,"Aug 21, 18",0.14845209652339006
2018-08-22,211.6294,213.8633,211.3724,212.5684,19018131,19018131,0.009884,0.005,212.6946,"Aug 22, 18",0.14850558615450604
2018-08-23,212.173,214.5454,212.1236,213.0034,18883224,18883224,0.434922,0.205,213.4703,"Aug 23, 18",0.1508558881277872
2018-08-24,214.1005,214.3971,212.6277,213.6656,18476356,18476356,0.662269,0.311,213.5654,"Aug 24, 18",0.15443375012021657
2018-08-27,214.6442,216.2159,213.8337,215.4251,20525117,20525117,1.7595,0.823,215.2595,"Aug 27, 18",0.1639403163776604
2018-08-28,216.4827,217.9951,216.3938,217.1648,22776766,22776766,1.7397,0.808,217.1524,"Aug 28, 18",0.17333990337287242
2018-08-29,217.6096,220.911,216.8781,220.4069,27254804,27254804,3.2422,1.493,219.2454,"Aug 29, 18",0.19085694711442347
2018-08-30,220.6738,225.626,219.8336,222.4333,48793824,48793824,2.0263,0.919,222.6076,"Aug 30, 18",0.20180557221478404
2018-08-31,223.8962,226.229,223.3921,225.0033,43340134,43340134,2.57,1.155,225.0628,"Aug 31, 18",0.21569126433278968
2018-09-04,225.7743,226.5354,224.0148,225.7248,27390132,27390132,0.721576,0.321,225.449,"Sep 4, 18",0.21958952381261107
2018-09-05,226.3476,227.0197,222.5025,224.252,33332960,33332960,-1.4728,-0.652,224.5868,"Sep 5, 18",0.21163199566031596
2018-09-06,223.6194,224.7265,218.7463,220.5255,34289976,34289976,-3.7265,-1.662,220.9601,"Sep 6, 18",0.1914977420892076
2018-09-07,219.29,222.7693,218.1631,218.7463,37619810,37619810,-1.7792,-0.807,220.6253,"Sep 7, 18",0.18188473686883572
2018-09-10,218.4004,219.29,213.972,215.8106,39516453,39516453,-2.9357,-1.342,215.7117,"Sep 10, 18",0.1660231701953613
2018-09-11,215.4943,221.7107,214.061,221.2669,35749049,35749049,5.4563,2.528,219.3302,"Sep 11, 18",0.19550352113056535
2018-09-12,222.3443,222.4036,217.3032,218.519,49278740,49278740,-2.7479,-1.242,219.1472,"Sep 12, 18",0.1806566365503834
2018-09-13,220.9407,225.715,220.0017,223.7973,41706377,41706377,5.2784,2.416,223.3254,"Sep 13, 18",0.20917525472410692
2018-09-14,223.145,224.2224,219.9542,221.257,31999289,31999289,-2.5403,-1.135,221.7305,"Sep 14, 18",0.19545003149944937
2018-09-17,219.5865,220.3773,214.7628,215.3658,37195133,37195133,-5.8912,-2.663,217.0755,"Sep 17, 18",0.16361991889026842
2018-09-18,215.2768,219.29,214.6145,215.7216,31571712,31571712,0.355846,0.165,216.9234,"Sep 18, 18",0.16554230381462104
2018-09-19,215.9786,217.0857,212.8155,215.8501,27123833,27123833,0.1285,0.06,214.8981,"Sep 19, 18",0.16623658842052133
2018-09-20,217.6985,219.715,216.6211,217.491,26608794,26608794,1.6408,0.76,218.2199,"Sep 20, 18",0.17510235970318117
2018-09-21,218.2323,218.8056,214.7826,215.1483,96246748,96246748,-2.3427,-1.077,215.9731,"Sep 21, 18",0.16244476790362783
2018-09-24,214.318,218.7068,214.1302,218.2422,27693358,27693358,3.0939,1.438,216.9164,"Sep 24, 18",0.17916108807635067
2018-09-25,217.2142,220.2488,217.1648,219.626,24554379,24554379,1.3838,0.634,219.072,"Sep 25, 18",0.18663774984790568
2018-09-26,218.4498,221.168,217.2241,217.8765,23984706,23984706,-1.7496,-0.797,219.3307,"Sep 26, 18",0.1771852135208819
2018-09-27,221.2372,223.827,220.9605,222.3542,30181227,30181227,4.4777,2.055,222.5675,"Sep 27, 18",0.20137819546515975
2018-09-28,222.196,223.2339,221.4349,223.1351,22929364,22929364,0.780884,0.351,222.5534,"Sep 28, 18",0.20559739273167751
2018-10-01,225.3196,226.7726,223.738,224.6375,23600802,23600802,1.5025,0.673,225.4188,"Oct 1, 18",0.2137148494780167
2018-10-02,224.6277,227.3459,224.0148,226.6342,24788170,24788170,1.9967,0.889,226.4003,"Oct 2, 18",0.22450300568502915
2018-10-03,227.3953,230.7759,227.1285,229.392,28654799,28654799,2.7578,1.217,229.5545,"Oct 3, 18",0.23940337989632726
2018-10-04,228.1169,229.6688,224.1137,225.3591,32042000,32042000,-4.0329,-1.758,226.1539,"Oct 4, 18",0.21761364925714247
2018-10-05,225.3295,225.7743,218.0346,221.7018,33580463,33580463,-3.6573,-1.623,221.7908,"Oct 5, 18",0.19785328280454226
2018-10-08,219.6458,222.2059,217.659,221.1878,29663923,29663923,-0.514,-0.232,220.2113,"Oct 8, 18",0.19507614438094123
2018-10-09,221.0593,224.6474,219.6816,224.252,26891029,26891029,3.0642,1.385,223.005,"Oct 9, 18",0.21163199566031596
2018-10-10,222.8583,223.738,213.5569,213.8633,41990554,41990554,-10.3887,-4.633,218.4901,"Oct 10, 18",0.15550192184462502
2018-10-11,212.0445,216.9671,209.8699,211.9754,53124392,53124392,-1.888,-0.883,213.3376,"Oct 11, 18",0.14530161128058494
2018-10-12,217.8765,220.3081,214.3378,219.547,40337851,40337851,7.5716,3.572,217.8494,"Oct 12, 18",0.18621091339758564
2018-10-15,218.6079,219.2702,214.7628,214.8518,30791007,30791007,-4.6952,-2.139,216.2144,"Oct 15, 18",0.16084278046666722
2018-10-16,216.4037,220.4168,214.2614,219.5865,29183963,29183963,4.7347,2.204,217.4602,"Oct 16, 18",0.18642433162274566
2018-10-17,219.7348,220.0708,216.8089,218.6376,22885397,22885397,-0.948922,-0.432,218.4575,"Oct 17, 18",0.18129743152516756
2018-10-18,215.346,217.2043,210.5421,213.5272,32581315,32581315,-5.1103,-2.337,214.4805,"Oct 18, 18",0.15368597588320013
2018-10-19,215.5437,218.7068,214.921,216.7793,33078726,33078726,3.252,1.523,216.8289,"Oct 19, 18",0.17125704955517154
2018-10-22,217.2537,220.7825,216.4135,218.1038,28792082,28792082,1.3245,0.611,218.7344,"Oct 22, 18",0.1784133138393344
2018-10-23,213.3394,220.6738,212.2225,220.1598,38767846,38767846,2.056,0.943,216.2931,"Oct 23, 18",0.18952186753373884
2018-10-24,220.0313,221.6425,212.0643,212.608,40925163,40925163,-7.5518,-3.43,216.899,"Oct 24, 18",0.1487195446789703
2018-10-25,215.1977,218.8254,214.2488,217.2636,29855768,29855768,4.6556,2.19,216.9136,"Oct 25, 18",0.17387371908542446
2018-10-26,213.4086,217.6491,210.2159,213.804,47258375,47258375,-3.4596,-1.592,213.7381,"Oct 26, 18",0.15518152435723287
2018-10-29,216.6607,217.1549,203.7118,209.7909,45935520,45935520,-4.0132,-1.877,212.1044,"Oct 29, 18",0.13349877298028004
2018-10-30,208.7134,212.6969,206.8551,210.8386,36659990,36659990,1.0478,0.499,210.342,"Oct 30, 18",0.13915948879041032
2018-10-31,214.3773,217.9061,214.1203,216.3345,38358933,38358933,5.4958,2.607,216.3964,"Oct 31, 18",0.16885379825007849
2018-11-01,216.5223,219.7941,214.3081,219.6557,58323180,58323180,3.3212,1.535,217.0881,"Nov 1, 18",0.1867982187412538
2018-11-02,207.1319,211.1846,203.0594,205.0858,91328654,91328654,-14.5699,-6.633,205.6073,"Nov 2, 18",0.10807715041824564
2018-11-05,201.9425,202.0314,195.8832,199.2638,66163669,66163669,-5.822,-2.839,198.4869,"Nov 5, 18",0.07662092492757282
2018-11-06,199.5899,202.3576,199.3626,201.4186,31882881,31882881,2.1548,1.081,200.9033,"Nov 6, 18",0.08826329433452947
2018-11-07,203.5932,207.636,201.7744,207.5273,33424434,33424434,6.1087,3.033,204.8356,"Nov 7, 18",0.121268557930351
2018-11-08,208.2811,208.42,205.0773,206.8032,25362636,25362636,-0.724098,-0.349,206.3941,"Nov 8, 18",0.11735625066862033
2018-11-09,203.887,204.3433,200.6137,202.8157,34365750,34365750,-3.9875,-1.928,202.4644,"Nov 9, 18",0.09581181591354335
2018-11-12,197.39,198.2331,192.2221,192.599,51135518,51135518,-10.2167,-5.037,193.9885,"Nov 12, 18",0.04061105690108079
2018-11-13,190.0796,195.5847,189.9012,190.6747,46882936,46882936,-1.9243,-0.999,192.2209,"Nov 13, 18",0.03021407739031107
2018-11-14,192.3312,192.9065,184.4257,185.2887,60800957,60800957,-5.3861,-2.825,187.1264,"Nov 14, 18",0.0011135568659614258
2018-11-15,186.8658,190.4168,185.3879,189.8614,46478801,46478801,4.5727,2.468,188.2819,"Nov 15, 18",0.02581982314923169
2018-11-16,188.9587,193.3921,187.9272,191.9642,36928253,36928253,2.1028,1.108,191.5989,"Nov 16, 18",0.03718123691800305
2018-11-19,188.4628,189.1571,183.4933,184.3563,41920872,41920872,-7.6079,-3.963,185.4075,"Nov 19, 18",-0.003924193846423213
2018-11-20,176.9269,180.0018,174.09,175.5481,67825247,67825247,-8.8082,-4.778,176.9921,"Nov 20, 18",-0.05151483715919275
2018-11-21,178.2759,178.8115,175.1216,175.3497,31124210,31124210,-0.198381,-0.113,176.5183,"Nov 21, 18",-0.05258679097873058
2018-11-23,173.5246,175.1662,170.7076,170.8961,23623972,23623972,-4.4537,-2.54,172.5117,"Nov 23, 18",-0.07664956079069574
2018-11-26,172.8303,173.5345,168.8825,173.2072,44998520,44998520,2.3112,1.352,171.6332,"Nov 26, 18",-0.06416270357127041
2018-11-27,170.1224,173.356,169.4975,172.8303,41387377,41387377,-0.376926,-0.218,171.887,"Nov 27, 18",-0.06619909164880987
2018-11-28,175.3001,179.8233,173.5147,179.4761,46062539,46062539,6.6458,3.845,176.7472,"Nov 28, 18",-0.030291880490116364
2018-11-29,181.1822,181.321,176.2623,178.0973,41769992,41769992,-1.3788,-0.768,177.8955,"Nov 29, 18",-0.03774152729646127
2018-11-30,178.8313,178.871,175.5977,177.1352,39531549,39531549,-0.962152,-0.54,176.8489,"Nov 30, 18",-0.04293974690219402
2018-12-03,182.9676,183.4437,179.7439,183.3247,40798002,40798002,6.1895,3.494,181.477,"Dec 3, 18",-0.009497921468576767
2018-12-04,179.486,180.9143,174.8439,175.2605,41344282,41344282,-8.0642,-4.399,177.2761,"Dec 4, 18",-0.05306873795807929
2018-12-06,170.3704,173.3659,169.0412,173.3064,43098410,43098410,-1.9541,-1.115,171.0334,"Dec 6, 18",-0.06362672666150149
2018-12-07,172.0864,173.0783,166.9384,167.1268,42281631,42281631,-6.1796,-3.566,169.0419,"Dec 7, 18",-0.09701506246400261
2018-12-10,163.665,168.7139,162.0086,168.2278,62025994,62025994,1.101,0.659,165.5619,"Dec 10, 18",-0.09106636712473247
2018-12-11,170.2712,170.4001,165.6489,167.2657,47281665,47281665,-0.962152,-0.572,167.5691,"Dec 11, 18",-0.09626458673046523
2018-12-12,169.0214,170.5291,167.6525,167.7319,35627674,35627674,0.466198,0.279,168.9345,"Dec 12, 18",-0.09374571137427298
2018-12-13,169.1106,171.1738,168.1782,169.5669,31897827,31897827,1.835,1.094,169.5858,"Dec 13, 18",-0.08383121914215604
2018-12-14,167.6327,167.712,163.9428,164.1412,40703710,40703710,-5.4257,-3.2,165.2802,"Dec 14, 18",-0.11314623849027415
2018-12-17,164.1114,166.9879,161.4134,162.6136,44287922,44287922,-1.5275,-0.931,164.156,"Dec 17, 18",-0.12139985066127243
2018-12-18,164.042,166.1746,163.06,164.7264,33841518,33841518,2.1128,1.299,164.5478,"Dec 18, 18",-0.10998440696208071
2018-12-19,164.657,166.0952,157.8029,159.5883,49047297,49047297,-5.1381,-3.119,161.9502,"Dec 19, 18",-0.13774552551131228
2018-12-20,159.1023,160.7984,154.0435,155.5611,64772960,64772960,-4.0272,-2.523,157.1159,"Dec 20, 18",-0.1595044590901576
2018-12-21,155.5909,156.8804,148.4194,149.5105,95744384,95744384,-6.0506,-3.89,151.8393,"Dec 21, 18",-0.19219580879023745
2018-12-24,146.9514,150.3239,145.404,145.6421,37169232,37169232,-3.8684,-2.587,147.5555,"Dec 24, 18",-0.2130967470740092
2018-12-26,147.1002,155.9579,145.5329,155.8984,58582544,58582544,10.2563,7.042,150.2545,"Dec 26, 18",-0.15768202953708238
2018-12-27,154.5792,155.5016,148.8558,154.8867,53117065,53117065,-1.0117,-0.649,151.9672,"Dec 27, 18",-0.16314823759769972
2018-12-28,156.2257,157.2375,153.2996,154.966,42291424,42291424,0.079353,0.051,155.1236,"Dec 28, 18",-0.162719780249467
2018-12-31,157.2474,158.0707,155.214,156.4638,35003466,35003466,1.4978,0.967,156.387,"Dec 31, 18",-0.1546271772711212
2019-01-02,153.6368,157.5648,152.9822,156.6423,37039737,37039737,0.178544,0.114,155.701,"Jan 2, 19",-0.15366274301311958
2019-01-03,142.8151,144.541,140.8511,141.0396,91312195,91312195,-15.6027,-9.961,142.374,"Jan 3, 19",-0.23796402254993176
2019-01-04,143.3607,147.348,142.6366,147.0605,58607070,58607070,6.0209,4.269,145.6457,"Jan 4, 19",-0.20543314174320018
2019-01-07,147.4969,147.6259,144.7196,146.7332,54777764,54777764,-0.327331,-0.223,146.1539,"Jan 7, 19",-0.20720154136585503
2019-01-08,148.35,150.5917,147.3184,149.5303,41025314,41025314,2.7972,1.906,148.8948,"Jan 8, 19",-0.19208882952800532
2019-01-09,150.066,153.2798,148.4194,152.0696,45099081,45099081,2.5393,1.698,151.7093,"Jan 9, 19",-0.17836900929638985
2019-01-10,151.2662,152.7243,149.6395,152.5557,35780670,35780670,0.486035,0.32,151.4666,"Jan 10, 19",-0.17574261437866126
2019-01-11,151.6431,152.4565,150.2842,151.0579,27023241,27023241,-1.4978,-0.982,151.1488,"Jan 11, 19",-0.1838352173570072
2019-01-14,149.6295,150.0461,148.0127,148.7864,32439186,32439186,-2.2715,-1.504,148.7844,"Jan 14, 19",-0.1961081160519683
2019-01-15,149.0542,152.149,148.836,151.8316,28710324,28710324,3.0452,2.047,151.0852,"Jan 15, 19",-0.17965492164039193
2019-01-16,151.8415,154.6188,151.7621,153.6864,30569706,30569706,1.8549,1.222,153.6865,"Jan 16, 19",-0.169633450146043
2019-01-17,152.9524,156.3844,152.02,154.599,29821160,29821160,0.912557,0.594,153.7188,"Jan 17, 19",-0.1647026786958905
2019-01-18,156.2257,156.6027,154.7186,155.5512,33751023,33751023,0.952233,0.616,155.6815,"Jan 18, 19",-0.15955794872127374
2019-01-22,155.1445,155.462,151.3852,152.0597,30393970,30393970,-3.4915,-2.245,153.0137,"Jan 22, 19",-0.17842249892750597
2019-01-23,152.9028,153.8848,150.4727,152.6747,23130570,23130570,0.614984,0.404,152.1927,"Jan 23, 19",-0.1750996582066602
2019-01-24,152.8632,153.2302,150.5123,151.4646,25441549,25441549,-1.2101,-0.793,151.4238,"Jan 24, 19",-0.1816378200868154
